state,actions,reward,next_state,done
2714,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2715,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2716,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2717,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2718,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2719,[[1 0 0 1 0 0 0 0 0 0 0 1]],1,1,[[1 0 0 1 0 0 0 0 0 0 0 1]],False
2720,[[1 0 0 1 0 0 0 0 0 0 0 1]],2,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2721,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2722,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2723,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2724,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2725,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2726,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2727,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2728,[[1 0 0 1 0 0 0 0 1 0 0 0]],1,-1,[[1 0 0 1 0 0 0 0 1 0 0 0]],False
2729,[[1 0 0 1 0 0 0 0 1 0 0 0]],2,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2730,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2731,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2732,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2733,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2734,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2735,[[1 0 0 1 0 0 0 0 0 0 1 0]],1,-1,[[1 0 0 1 0 0 0 0 0 0 1 0]],False
2736,[[1 0 0 1 0 0 0 0 0 0 1 0]],2,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2737,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2738,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2739,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2740,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2741,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2742,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2743,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
2744,[[1 0 0 1 0 0 0 0 0 1 0 0]],1,1,[[1 0 0 1 0 0 0 0 0 1 0 0]],False
